2021-12-29 12:41:35.720 | SUCCESS  | __main__:parse:182 - handle [1/4] | topic=`Robotics` subtopic=`Visual Localization`
2021-12-29 12:41:35.792 | SUCCESS  | __main__:parse:182 - handle [2/4] | topic=`Robotics` subtopic=`SLAM`
2021-12-29 12:41:35.814 | SUCCESS  | __main__:parse:182 - handle [3/4] | topic=`Robotics` subtopic=`SFM`
2021-12-29 12:41:35.826 | SUCCESS  | __main__:parse:182 - handle [4/4] | topic=`Robotics` subtopic=`Robotics`
2021-12-29 12:42:36.282 | SUCCESS  | __main__:parse:182 - handle [1/4] | topic=`Robotics` subtopic=`SLAM`
2021-12-29 12:42:36.698 | SUCCESS  | __main__:parse:182 - handle [2/4] | topic=`Robotics` subtopic=`SFM`
2021-12-29 12:42:37.102 | SUCCESS  | __main__:parse:182 - handle [3/4] | topic=`Robotics` subtopic=`Robotics`
2021-12-29 12:42:37.196 | SUCCESS  | __main__:parse:182 - handle [4/4] | topic=`Robotics` subtopic=`Visual Localization`
2021-12-29 12:45:35.903 | SUCCESS  | __main__:parse:182 - handle [1/4] | topic=`Robotics` subtopic=`SLAM`
2021-12-29 12:45:35.926 | SUCCESS  | __main__:parse:182 - handle [2/4] | topic=`Robotics` subtopic=`SFM`
2021-12-29 12:45:35.958 | SUCCESS  | __main__:parse:182 - handle [3/4] | topic=`Robotics` subtopic=`Robotics`
2021-12-29 12:45:36.042 | SUCCESS  | __main__:parse:182 - handle [4/4] | topic=`Robotics` subtopic=`Visual Localization`
